Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Experimental Condition [Fluorescent Labels],Comment [Fluorescent Label Reference DOIs],Gene Identifier,Gene Symbol,Comment [Gene Annotation Comments],Image File,Comment [Image File Path],Comment [Image File Type],Channels
membranes_pea3fish,17A1DC6394,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",17A1DC6394_8bit_lynEGFP.tif; 17A1DC6394_8bit_pea3smFISH.tif,./17A1DC6394/17A1DC6394_8bit_lynEGFP.tif; ./17A1DC6394/17A1DC6394_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,1D01C63CEE,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",1D01C63CEE_8bit_lynEGFP.tif; 1D01C63CEE_8bit_pea3smFISH.tif,./1D01C63CEE/1D01C63CEE_8bit_lynEGFP.tif; ./1D01C63CEE/1D01C63CEE_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,2EF96EDA6E,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",2EF96EDA6E_8bit_lynEGFP.tif; 2EF96EDA6E_8bit_pea3smFISH.tif,./2EF96EDA6E/2EF96EDA6E_8bit_lynEGFP.tif; ./2EF96EDA6E/2EF96EDA6E_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,3CBF362B2A,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",3CBF362B2A_8bit_lynEGFP.tif; 3CBF362B2A_8bit_pea3smFISH.tif,./3CBF362B2A/3CBF362B2A_8bit_lynEGFP.tif; ./3CBF362B2A/3CBF362B2A_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,42D75830F4,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",42D75830F4_8bit_lynEGFP.tif; 42D75830F4_8bit_pea3smFISH.tif,./42D75830F4/42D75830F4_8bit_lynEGFP.tif; ./42D75830F4/42D75830F4_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,4404F99D93,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",4404F99D93_8bit_lynEGFP.tif; 4404F99D93_8bit_pea3smFISH.tif,./4404F99D93/4404F99D93_8bit_lynEGFP.tif; ./4404F99D93/4404F99D93_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,465ED01E64,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",465ED01E64_8bit_lynEGFP.tif; 465ED01E64_8bit_pea3smFISH.tif,./465ED01E64/465ED01E64_8bit_lynEGFP.tif; ./465ED01E64/465ED01E64_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,4E2807EBE0,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",4E2807EBE0_8bit_lynEGFP.tif; 4E2807EBE0_8bit_pea3smFISH.tif,./4E2807EBE0/4E2807EBE0_8bit_lynEGFP.tif; ./4E2807EBE0/4E2807EBE0_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,50A3A129F9,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",50A3A129F9_8bit_lynEGFP.tif; 50A3A129F9_8bit_pea3smFISH.tif,./50A3A129F9/50A3A129F9_8bit_lynEGFP.tif; ./50A3A129F9/50A3A129F9_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
membranes_pea3fish,5289DAC61C,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP; pea3 smFISH,10.1016/j.devcel.2006.02.019; 10.1038/nature13852,ENSDART00000013033,pea3,"Transcript identifier and gene symbol from Ensembl release 99, Jan 2020",5289DAC61C_8bit_lynEGFP.tif; 5289DAC61C_8bit_pea3smFISH.tif,./5289DAC61C/5289DAC61C_8bit_lynEGFP.tif; ./5289DAC61C/5289DAC61C_8bit_pea3smFISH.tif,raw,lynEGFP:cell membranes; pea3smFISH:pea3 RNA
